Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"GRND3","GRENDENE SA","Consumer Discretionary","Equity","5’548’496.03","0.40","5’548’496.03","6’955’614.00","0.80","Brazil","XBSP","BRL"
"1071","HUADIAN POWER INTERNATIONAL CORP L","Utilities","Equity","5’521’263.52","0.39","5’521’263.52","10’014’000.00","0.55","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"SANB11","BANCO SANTANDER BRASIL UNITS SA","Financials","Equity","5’508’557.02","0.39","5’508’557.02","1’021’817.00","5.39","Brazil","XBSP","BRL"
"ARI","AFRICAN RAINBOW MINERAL LTD","Materials","Equity","5’500’429.06","0.39","5’500’429.06","451’374.00","12.19","South Africa","Johannesburg Stock Exchange","ZAR"
"SIRI.R","SANSIRI NON-VOTING DR PCL","Real Estate","Equity","5’471’358.32","0.39","5’471’358.32","124’942’102.00","0.04","Thailand","Stock Exchange Of Thailand","THB"
"VULC3","VULCABRAS AZALEIA SA","Consumer Discretionary","Equity","5’282’234.99","0.38","5’282’234.99","1’758’512.00","3.00","Brazil","XBSP","BRL"
"SCMA","SURYA CITRA MEDIA","Communication","Equity","5’044’451.43","0.36","5’044’451.43","405’734’400.00","0.01","Indonesia","Indonesia Stock Exchange","IDR"
"BRL","BRL CASH","Cash and/or Derivatives","Cash","4’866’949.70","0.35","4’866’949.70","24’465’913.00","19.89","Brazil","-","BRL"
"TCAP.R","THANACHART CAPITAL NON-VOTING DR P","Financials","Equity","4’543’415.25","0.32","4’543’415.25","2’483’100.00","1.83","Thailand","Stock Exchange Of Thailand","THB"
"KKP.R","KIATNAKIN PHATRA BANK NON-VOTING D","Financials","Equity","4’533’177.16","0.32","4’533’177.16","1’833’200.00","2.47","Thailand","Stock Exchange Of Thailand","THB"
"LH.R","LAND AND HOUSE PUBLIC NON-VOTING D","Real Estate","Equity","4’445’445.44","0.32","4’445’445.44","39’880’775.00","0.11","Thailand","Stock Exchange Of Thailand","THB"
"2439","MERRY ELECTRONICS LTD","Consumer Discretionary","Equity","4’341’454.98","0.31","4’341’454.98","1’548’567.00","2.80","Taiwan","Taiwan Stock Exchange","TWD"
"RECV3","PETRORECONCAVO SA","Energy","Equity","4’236’202.82","0.30","4’236’202.82","1’729’909.00","2.45","Brazil","XBSP","BRL"
"ABCB4","BANCO ABC BRASIL PREF SA","Financials","Equity","4’222’830.65","0.30","4’222’830.65","870’712.00","4.85","Brazil","XBSP","BRL"
"KEPL3","KEPLER WEBER SA","Industrials","Equity","4’157’458.75","0.30","4’157’458.75","2’964’445.00","1.40","Brazil","XBSP","BRL"
"LX","LEXINFINTECH HOLDINGS ADR LTD","Financials","Equity","2’980’962.04","0.21","2’980’962.04","1’520’899.00","1.96","China","NASDAQ","USD"
"IDR","IDR CASH","Cash and/or Derivatives","Cash","2’885’025.91","0.21","2’885’025.91","51’050’533’516.00","0.01","Indonesia","-","IDR"
"HKD","HKD CASH","Cash and/or Derivatives","Cash","2’240’159.93","0.16","2’240’159.93","17’552’213.00","12.76","Hong Kong","-","HKD"
"USD","USD CASH","Cash and/or Derivatives","Cash","1’863’967.83","0.13","1’863’967.83","1’863’968.00","100.00","United States","-","USD"
"CZK","CZK CASH","Cash and/or Derivatives","Cash","1’086’863.25","0.08","1’086’863.25","22’755’004.00","4.78","Czech Republic","-","CZK"
"BZFUT","CASH COLLATERAL USD BZFUT","Cash and/or Derivatives","Cash Collateral and Margins","950’000.00","0.07","950’000.00","950’000.00","100.00","United States","-","USD"
"THB","THB CASH","Cash and/or Derivatives","Cash","894’510.42","0.06","894’510.42","29’210’238.00","3.06","Thailand","-","THB"
