Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"PCT","POLAR CAPITAL TECHNOLOGY TRUST PLC","Financials","Equity","48’224’003.13","0.30","48’224’003.13","6’884’226.00","7.00","United Kingdom","-","GBP"
"BNZL","BUNZL","Industrials","Equity","47’967’096.24","0.30","47’967’096.24","2’034’228.00","23.58","United Kingdom","London Stock Exchange","GBP"
"BEZ","BEAZLEY PLC","Financials","Equity","47’034’343.45","0.29","47’034’343.45","3’670’257.00","12.82","United Kingdom","London Stock Exchange","GBP"
"PSON","PEARSON PLC","Consumer Discretionary","Equity","45’524’742.56","0.28","45’524’742.56","4’050’244.00","11.24","United Kingdom","London Stock Exchange","GBP"
"MKS","MARKS AND SPENCER GROUP PLC","Consumer Staples","Equity","45’023’021.68","0.28","45’023’021.68","12’919’088.00","3.48","United Kingdom","London Stock Exchange","GBP"
"IMI","IMI PLC","Industrials","Equity","43’382’064.96","0.27","43’382’064.96","1’551’576.00","27.96","United Kingdom","London Stock Exchange","GBP"
"GAW","GAMES WORKSHOP GROUP PLC","Consumer Discretionary","Equity","42’732’849.60","0.27","42’732’849.60","207’039.00","206.40","United Kingdom","London Stock Exchange","GBP"
"MNG","M&G PLC","Financials","Equity","42’336’248.52","0.26","42’336’248.52","13’427’291.00","3.15","United Kingdom","London Stock Exchange","GBP"
"FCIT","F&C INVESTMENT TRUST PLC","Financials","Equity","41’067’395.64","0.26","41’067’395.64","12’114’276.00","3.39","United Kingdom","-","GBP"
"WEIR","WEIR GROUP PLC","Industrials","Equity","40’109’516.44","0.25","40’109’516.44","1’625’183.00","24.68","United Kingdom","London Stock Exchange","GBP"
"STJ","ST JAMESS PLACE PLC","Financials","Equity","39’105’239.53","0.24","39’105’239.53","3’233’174.00","12.10","United Kingdom","London Stock Exchange","GBP"
"MRO","MELROSE INDUSTRIES PLC","Industrials","Equity","38’270’217.69","0.24","38’270’217.69","7’936’586.00","4.82","United Kingdom","London Stock Exchange","GBP"
"FRES","FRESNILLO PLC","Materials","Equity","37’783’461.55","0.24","37’783’461.55","1’157’227.00","32.65","United Kingdom","London Stock Exchange","GBP"
"HSX","HISCOX LTD","Financials","Equity","37’388’564.40","0.23","37’388’564.40","2’059’976.00","18.15","United Kingdom","London Stock Exchange","GBP"
"IGG","IG GROUP HOLDINGS PLC","Financials","Equity","37’351’988.10","0.23","37’351’988.10","2’024’498.00","18.45","United Kingdom","London Stock Exchange","GBP"
"SDLF","STANDARD LIFE PLC","Financials","Equity","37’104’315.30","0.23","37’104’315.30","4’658’420.00","7.96","United Kingdom","London Stock Exchange","GBP"
"PSH","PERSHING SQUARE HOLDINGS LTD","Financials","Other","34’258’300.68","0.21","34’258’300.68","818’011.00","41.88","Guernsey","-","GBP"
"ICG","ICG PLC","Financials","Equity","34’166’139.54","0.21","34’166’139.54","1’796’327.00","19.02","United Kingdom","London Stock Exchange","GBP"
"ABF","ASSOCIATED BRITISH FOODS PLC","Consumer Staples","Equity","33’625’930.49","0.21","33’625’930.49","1’836’479.00","18.31","United Kingdom","London Stock Exchange","GBP"
"DCC","DCC PLC","Energy","Equity","33’539’062.80","0.21","33’539’062.80","548’472.00","61.15","United Kingdom","London Stock Exchange","GBP"
"BAB","BABCOCK INTERNATIONAL GROUP PLC","Industrials","Equity","33’491’313.83","0.21","33’491’313.83","3’150’641.00","10.63","United Kingdom","London Stock Exchange","GBP"
"SBRY","SAINSBURY(J) PLC","Consumer Staples","Equity","32’722’617.02","0.20","32’722’617.02","10’620’778.00","3.08","United Kingdom","London Stock Exchange","GBP"
"KGF","KINGFISHER PLC","Consumer Discretionary","Equity","32’309’598.70","0.20","32’309’598.70","10’871’332.00","2.97","United Kingdom","London Stock Exchange","GBP"
"SPX","SPIRAX GROUP PLC","Industrials","Equity","32’009’128.50","0.20","32’009’128.50","460’563.00","69.50","United Kingdom","London Stock Exchange","GBP"
"ALW","ALLIANCE WITAN PLC","Financials","Equity","31’232’236.78","0.19","31’232’236.78","2’362’499.00","13.22","United Kingdom","-","GBP"
"LAND","LAND SECURITIES GROUP REIT PLC","Real Estate","Equity","30’093’054.11","0.19","30’093’054.11","4’713’086.00","6.38","United Kingdom","London Stock Exchange","GBP"
"SDR","SCHRODERS PLC","Financials","Equity","27’058’289.28","0.17","27’058’289.28","4’641’216.00","5.83","United Kingdom","London Stock Exchange","GBP"
"LMP","LONDONMETRIC PROPERTY REIT PLC","Real Estate","Equity","27’034’530.07","0.17","27’034’530.07","14’326’725.00","1.89","United Kingdom","London Stock Exchange","GBP"
"BRBY","BURBERRY GROUP PLC","Consumer Discretionary","Equity","26’227’697.92","0.16","26’227’697.92","2’268’832.00","11.56","United Kingdom","London Stock Exchange","GBP"
"HWDN","HOWDEN JOINERY GROUP PLC","Industrials","Equity","26’117’115.46","0.16","26’117’115.46","3’407’321.00","7.67","United Kingdom","London Stock Exchange","GBP"
"WTB","WHITBREAD PLC","Consumer Discretionary","Equity","25’955’270.88","0.16","25’955’270.88","1’070’762.00","24.24","United Kingdom","London Stock Exchange","GBP"
"CRDA","CRODA INTERNATIONAL PLC","Materials","Equity","25’734’468.63","0.16","25’734’468.63","861’549.00","29.87","United Kingdom","London Stock Exchange","GBP"
"MTLN","METLEN ENERGY & METALS PLC","Industrials","Equity","25’597’300.67","0.16","25’597’300.67","713’691.00","35.87","Greece","London Stock Exchange","EUR"
"BLND","BRITISH LAND REIT PLC","Real Estate","Equity","25’299’387.52","0.16","25’299’387.52","6’268’431.00","4.04","United Kingdom","London Stock Exchange","GBP"
"CTEC","CONVATEC GROUP PLC","Health Care","Equity","24’631’626.31","0.15","24’631’626.31","12’242’359.00","2.01","United Kingdom","London Stock Exchange","GBP"
"AUTO","AUTOTRADER GROUP PLC","Communication","Equity","23’399’666.86","0.15","23’399’666.86","5’327’793.00","4.39","United Kingdom","London Stock Exchange","GBP"
